76 material,,,
Frequency(Hz),µ',µ'',Angle
1000,10645.61329,253.8522685,1.366001154
2000,10615.71374,226.0747396,1.22000103
3000,10600.45589,240.9282127,1.302001099
4000,10588.20587,269.6801126,1.459001232
8000,10566.96107,420.349094,2.278001924
10000,10562.5965,501.445173,2.718002296
12000,10550.35037,580.2515214,3.14800266
15000,10534.29097,703.3803036,3.820003228
20000,10511.85812,910.4255795,4.950004181
25000,10483.33334,1120.160081,6.099005154
30000,10455.56881,1332.712557,7.264006134
40000,10381.68452,1775.319798,9.704008201
50000,10272.91846,2241.361057,12.3080104
60000,10106.18825,2719.669497,15.06201272
75000,9714.592669,3410.379398,19.34401634
80000,9554.000226,3618.924173,20.74601752
96000,8914.621519,4304.314958,25.77302177
100000,8809.172425,4315.378394,26.09902204
150000,6859.025888,5129.340093,36.79003108
200000,5356.500531,5172.351104,43.99803717
300000,3466.609125,4575.540229,52.85104464
400000,2509.424206,3898.793881,57.23304834
500000,1981.993178,3374.311374,59.57105031
600000,1653.797436,2983.652362,61.00105153
800000,1259.898045,2453.708145,62.82105306
960000,1061.944358,2168.656096,63.91005398
1000000,1039.715748,2103.253942,63.69517381
1137137,921.7311193,1931.019032,64.48356447
1274275,830.2729182,1787.888687,65.09049498
1438450,736.042665,1647.756566,65.93003568
1623777,651.3969757,1514.220113,66.72333635
1832981,577.6131993,1390.888565,67.44774697
2084351,501.6489678,1270.263401,68.45013782
2335721,445.4367795,1169.777094,69.1538384
2636651,389.4271572,1067.609907,69.95983909
2976351,340.9496771,974.7866268,70.72182974
3359818,297.7789276,888.0467424,71.46278036
3792690,260.1573457,806.9373146,72.13069093
4281332,226.2411967,733.8969145,72.86690154
4868464,196.0134171,660.3337781,73.46707205
5455595,172.718377,601.248498,73.97249248
6158482,149.0430749,543.0100689,74.65174306
6951928,129.7450461,490.6242343,75.18734351
7847600,112.9423586,442.3247184,75.67632392
8923800,97.93821738,394.9924842,76.07444426
10000000,86.56382404,356.844963,76.3645845
